代码,展示代码,名称,行业,市场,市值,中证全指权重,最新成交额,纳入日期
sz300498,300498.SZ,温氏股份,农林牧渔,深交所,161710817475.0,0.15,508698086.0,2026-05-09
sh600941,600941.SH,中国移动,通信,上交所,161710817475.0,0.15,901039870.0,2026-05-09
sh688525,688525.SH,佰维存储,电子,上交所,160632745358.5,0.149,8646849785.0,2026-05-09
sz002709,002709.SZ,天赐材料,电力设备,深交所,159554673242.0,0.148,10577172684.0,2026-05-09
sh601939,601939.SH,建设银行,银行,上交所,156320456892.5,0.145,505291184.0,2026-05-09
sz002353,002353.SZ,杰瑞股份,机械设备,深交所,156320456892.5,0.145,2562872361.0,2026-05-09
sz002916,002916.SZ,深南电路,电子,深交所,154164312659.5,0.143,3076633826.0,2026-05-09
sh603501,603501.SH,豪威集团,电子,上交所,154164312659.5,0.143,2207834232.0,2026-05-09
sz002008,002008.SZ,大族激光,机械设备,深交所,153086240543.0,0.142,7578388916.0,2026-05-09
sh600176,600176.SH,中国巨石,建筑材料,上交所,153086240543.0,0.142,4377511572.0,2026-05-09
sh600418,600418.SH,江淮汽车,汽车,上交所,153086240543.0,0.142,2671297812.0,2026-05-09
sz002466,002466.SZ,天齐锂业,有色金属,深交所,153086240543.0,0.142,7929999299.0,2026-05-09
sh601988,601988.SH,中国银行,银行,上交所,152008168426.5,0.141,936717491.0,2026-05-09
sh600690,600690.SH,海尔智家,家用电器,上交所,149852024193.5,0.139,813986706.0,2026-05-09
sh601169,601169.SH,北京银行,银行,上交所,145539735727.5,0.135,464469122.0,2026-05-09
sh600028,600028.SH,中国石化,石油石化,上交所,145539735727.5,0.135,1805968528.0,2026-05-09
sz300604,300604.SZ,长川科技,电子,深交所,143383591494.5,0.133,4006336156.0,2026-05-09
sh600489,600489.SH,中金黄金,有色金属,上交所,140149375145.0,0.13,2123904433.0,2026-05-09
sh688072,688072.SH,拓荆科技,电子,上交所,139071303028.5,0.129,2205305313.0,2026-05-09
sh601985,601985.SH,中国核电,公用事业,上交所,136915158795.5,0.127,1048134506.0,2026-05-09
sz000568,000568.SZ,泸州老窖,食品饮料,深交所,136915158795.5,0.127,672134636.0,2026-05-09
sh601009,601009.SH,南京银行,银行,上交所,134759014562.5,0.125,364228666.0,2026-05-09
sh601766,601766.SH,中国中车,机械设备,上交所,134759014562.5,0.125,1240605903.0,2026-05-09
sz300442,300442.SZ,润泽科技,通信,深交所,134759014562.5,0.125,6510719271.0,2026-05-09
sh601127,601127.SH,赛力斯,汽车,上交所,133680942446.0,0.124,2964303910.0,2026-05-09
sz001309,001309.SZ,德明利,电子,深交所,132602870329.5,0.123,9042535960.0,2026-05-09
sz000977,000977.SZ,浪潮信息,计算机,深交所,132602870329.5,0.123,9551252052.0,2026-05-09
sz300033,300033.SZ,同花顺,计算机,深交所,130446726096.5,0.121,2977271626.0,2026-05-09
sh600050,600050.SH,中国联通,通信,上交所,130446726096.5,0.121,780472610.0,2026-05-09
sz000408,000408.SZ,藏格矿业,有色金属,深交所,129368653980.0,0.12,1567634968.0,2026-05-09
sz002281,002281.SZ,光迅科技,通信,深交所,129368653980.0,0.12,13761705212.0,2026-05-09
sh600809,600809.SH,山西汾酒,食品饮料,上交所,129368653980.0,0.12,876920055.0,2026-05-09
sh600989,600989.SH,宝丰能源,基础化工,上交所,125056365514.0,0.116,2608634170.0,2026-05-09
sz301308,301308.SZ,江波龙,电子,深交所,123978293397.5,0.115,9191802724.0,2026-05-09
sz002202,002202.SZ,金风科技,电力设备,深交所,122900221281.0,0.114,6728896829.0,2026-05-09
sz000807,000807.SZ,云铝股份,有色金属,深交所,122900221281.0,0.114,1955957455.0,2026-05-09
sh600584,600584.SH,长电科技,电子,上交所,120744077048.0,0.112,8239048098.0,2026-05-09
sz002738,002738.SZ,中矿资源,有色金属,深交所,120744077048.0,0.112,2882253479.0,2026-05-09
sh603288,603288.SH,海天味业,食品饮料,上交所,119666004931.5,0.111,628604128.0,2026-05-09
sh601888,601888.SH,中国中免,商贸零售,上交所,118587932815.0,0.11,1393078788.0,2026-05-09
sz300390,300390.SZ,天华新能,电力设备,深交所,118587932815.0,0.11,10270356154.0,2026-05-09
sz000938,000938.SZ,紫光股份,计算机,深交所,118587932815.0,0.11,6974225408.0,2026-05-09
sh600549,600549.SH,厦门钨业,有色金属,上交所,118587932815.0,0.11,3173527731.0,2026-05-09
sh600104,600104.SH,上汽集团,汽车,上交所,117509860698.5,0.109,562341867.0,2026-05-09
sh600988,600988.SH,赤峰黄金,有色金属,上交所,117509860698.5,0.109,2990189106.0,2026-05-09
sh601006,601006.SH,大秦铁路,交通运输,上交所,117509860698.5,0.109,679082487.0,2026-05-09
sz002027,002027.SZ,分众传媒,传媒,深交所,117509860698.5,0.109,963484867.0,2026-05-09
sh600879,600879.SH,航天电子,国防军工,上交所,117509860698.5,0.109,8013310562.0,2026-05-09
sz002156,002156.SZ,通富微电,电子,深交所,116431788582.0,0.108,9293491887.0,2026-05-09
sz000776,000776.SZ,广发证券,非银金融,深交所,116431788582.0,0.108,951131326.0,2026-05-09
sh600547,600547.SH,山东黄金,有色金属,上交所,115353716465.5,0.107,3302842679.0,2026-05-09
sz300058,300058.SZ,蓝色光标,传媒,深交所,114275644349.0,0.106,13441260527.0,2026-05-09
sh600893,600893.SH,航发动力,国防军工,上交所,114275644349.0,0.106,2773408668.0,2026-05-09
sh601628,601628.SH,中国人寿,非银金融,上交所,113197572232.5,0.105,1248262528.0,2026-05-09
sh600010,600010.SH,包钢股份,钢铁,上交所,113197572232.5,0.105,1982250261.0,2026-05-09
