代码,展示代码,名称,行业,中信细分行业,市场,板块,最新成交额,中证全指权重,概念数量,来源
sh603888,603888.SH,新华网,互联网,文字图片媒体,上交所,主板,308410357.0,0.0,17,全A基础池扩展补充
sz002669,002669.SZ,康达新材,化工原料,胶黏剂及胶带,深交所,主板,176403828.0,0.0,22,全A基础池扩展补充
sh600506,600506.SH,统一股份,石油加工,其他石化,上交所,主板,175720445.0,0.0,20,全A基础池扩展补充
sz300270,300270.SZ,中威电子,IT设备,安防设备,深交所,创业板,210903000.0,0.0,19,全A基础池扩展补充
sz301517,301517.SZ,陕西华达,元器件,军工电子,深交所,创业板,437947921.0,0.0,15,全A基础池扩展补充
sz002870,002870.SZ,香山股份,汽车配件,车身附件及饰件,深交所,主板,297710140.0,0.0,17,全A基础池扩展补充
sh603533,603533.SH,掌阅科技,互联网,文字图片媒体,上交所,主板,739933836.0,0.0,12,全A基础池扩展补充
sh603278,603278.SH,大业股份,钢加工,金属制品,上交所,主板,1537910217.0,0.0,8,全A基础池扩展补充
sz300786,300786.SZ,国林科技,环境保护,环保设备,深交所,创业板,350634628.0,0.0,16,全A基础池扩展补充
sz300145,300145.SZ,南方泵业,机械基件,机械基础件,深交所,创业板,415305207.0,0.0,15,全A基础池扩展补充
sh688079,688079.SH,美迪凯,元器件,光学元件,上交所,科创板,498300954.0,0.0,14,全A基础池扩展补充
sz000600,000600.SZ,建投能源,火力发电,火力发电,深交所,主板,707078161.0,0.0,12,全A基础池扩展补充
sz002552,002552.SZ,宝鼎科技,元器件,PCB,深交所,主板,1466714272.0,0.0,8,全A基础池扩展补充
sz300943,300943.SZ,春晖智控,机械基件,机械基础件,深交所,创业板,566592714.0,0.0,13,全A基础池扩展补充
sh603017,603017.SH,中衡设计,建筑工程,工程咨询服务,上交所,主板,271071266.0,0.0,17,全A基础池扩展补充
sz300793,300793.SZ,佳禾智能,IT设备,消费电子组件,深交所,创业板,155017435.0,0.0,25,全A基础池扩展补充
sh603757,603757.SH,大元泵业,机械基件,机械基础件,上交所,主板,653996509.0,0.0,12,全A基础池扩展补充
sz002355,002355.SZ,兴民智通,汽车配件,轮胎轮毂,深交所,主板,216377367.0,0.0,18,全A基础池扩展补充
sz300449,300449.SZ,汉邦高科,IT设备,安防设备,深交所,创业板,1124308514.0,0.0,9,全A基础池扩展补充
sz300939,300939.SZ,秋田微,元器件,面板,深交所,创业板,367896799.0,0.0,15,全A基础池扩展补充
sz000950,000950.SZ,重药控股,医药商业,医药流通,深交所,主板,753430114.0,0.0,11,全A基础池扩展补充
sz002829,002829.SZ,星网宇达,航空,航天装备,深交所,主板,138887976.0,0.0,20,全A基础池扩展补充
sz002158,002158.SZ,汉钟精机,工程机械,制冷空调设备,深交所,主板,414920644.0,0.0,14,全A基础池扩展补充
sh603175,603175.SH,超颖电子,元器件,PCB,上交所,主板,498640538.0,0.0,13,全A基础池扩展补充
sz300885,300885.SZ,海昌新材,机械基件,机械基础件,深交所,创业板,718716819.0,0.0,11,全A基础池扩展补充
sz002658,002658.SZ,雪迪龙,环境保护,环境监测,深交所,主板,597493182.0,0.0,12,全A基础池扩展补充
sz002090,002090.SZ,金智科技,电气设备,电网自动化,深交所,主板,134639875.0,0.0,20,全A基础池扩展补充
sz301330,301330.SZ,熵基科技,IT设备,安防设备,深交所,创业板,132827540.0,0.0,20,全A基础池扩展补充
sz000966,000966.SZ,长源电力,火力发电,火力发电,深交所,主板,832467531.0,0.0,10,全A基础池扩展补充
sh688379,688379.SH,华光新材,机械基件,金属制品,上交所,科创板,393882614.0,0.0,14,全A基础池扩展补充
sh605222,605222.SH,起帆电缆,电气设备,线缆部件及其他,上交所,主板,683665166.0,0.0,11,全A基础池扩展补充
sz002708,002708.SZ,光洋股份,汽车配件,底盘与发动机系统,深交所,主板,392519778.0,0.0,14,全A基础池扩展补充
sz300161,300161.SZ,华中数控,机床制造,机床制造,深交所,创业板,323374182.0,0.0,15,全A基础池扩展补充
sz002640,002640.SZ,跨境通,互联网,跨境电商,深交所,主板,1398375442.0,0.0,7,全A基础池扩展补充
sz300546,300546.SZ,雄帝科技,IT设备,其他IT设备,深交所,创业板,153112619.0,0.0,19,全A基础池扩展补充
