序号,代码,展示代码,名称,市场,行业,入池类型,入池批次,来源,来源行号,是否启用,更新频率,最新价,涨跌幅,涨跌额,成交量,成交额,最高,最低,今开,昨收,市盈率,量比,换手率,快照生成时间,本池生成时间
77,sh603993,603993.SH,洛阳钼业,上交所,工业金属,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,77,True,每个交易日盘后；必须早于收盘短线观察报告生成,19.85,-1.73,-0.35,1807816,3609154814.0,20.15,19.74,20.09,20.2,13.68,1.06,1.04,2026-05-11 13:28:35,2026-05-12 07:11:40
78,sh600547,600547.SH,山东黄金,上交所,贵金属,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,78,True,每个交易日盘后；必须早于收盘短线观察报告生成,35.3,-3.29,-1.2,466777,1659107115.0,36.03,35.28,36.0,36.5,28.14,1.02,1.29,2026-05-11 13:28:35,2026-05-12 07:11:40
79,sz000807,000807.SZ,云铝股份,深交所,工业金属,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,79,True,每个交易日盘后；必须早于收盘短线观察报告生成,31.29,-0.73,-0.23,506691,1606673942.78,32.15,31.25,31.86,31.52,7.54,1.33,1.46,2026-05-11 13:28:35,2026-05-12 07:11:40
80,sh600938,600938.SH,中国海油,上交所,油气开采Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,80,True,每个交易日盘后；必须早于收盘短线观察报告生成,36.28,-0.19,-0.07,315903,1148968676.0,36.78,36.18,36.7,36.35,11.01,0.89,1.06,2026-05-11 13:28:35,2026-05-12 07:11:40
81,sh600028,600028.SH,中国石化,上交所,炼化及贸易,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,81,True,每个交易日盘后；必须早于收盘短线观察报告生成,5.19,-0.57,-0.03,2161021,1125435552.0,5.23,5.18,5.23,5.22,9.23,0.81,0.23,2026-05-11 13:28:35,2026-05-12 07:11:40
82,sh601857,601857.SH,中国石油,上交所,炼化及贸易,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,82,True,每个交易日盘后；必须早于收盘短线观察报告生成,11.06,-0.54,-0.06,1150045,1276652583.0,11.24,11.02,11.21,11.12,10.47,0.97,0.07,2026-05-11 13:28:35,2026-05-12 07:11:40
83,sh600019,600019.SH,宝钢股份,上交所,普钢,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,83,True,每个交易日盘后；必须早于收盘短线观察报告生成,6.45,0.62,0.04,806965,516764750.0,6.46,6.36,6.4,6.41,15.79,1.16,0.37,2026-05-11 13:28:35,2026-05-12 07:11:40
84,sz000708,000708.SZ,中信特钢,深交所,特钢Ⅱ,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,84,True,每个交易日盘后；必须早于收盘短线观察报告生成,15.53,-0.38,-0.06,139137,217254981.0,15.86,15.31,15.64,15.59,12.96,1.42,0.28,2026-05-11 13:28:35,2026-05-12 07:11:40
85,sz000932,000932.SZ,华菱钢铁,深交所,普钢,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,85,True,每个交易日盘后；必须早于收盘短线观察报告生成,4.68,-0.21,-0.01,437649,206386301.33,4.77,4.67,4.69,4.69,40.55,0.7,0.64,2026-05-11 13:28:35,2026-05-12 07:11:40
86,sh688305,688305.SH,科德数控,上交所,通用设备,重点关注快照初始种子,seed_from_focus_public_quote,03数据/04数据快照/重点关注池公开行情快照_最新.json,86,True,每个交易日盘后；必须早于收盘短线观察报告生成,65.21,0.22,0.14,27516,178627883.0,65.59,64.16,64.9,65.07,96.09,1.21,2.08,2026-05-11 13:28:35,2026-05-12 07:11:40
