"来源系统","归类","文件","大小KB","最近修改时间","吸收建议"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\02_脚本代码片段\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\命令服务器.py","3.07","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\02_脚本代码片段\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\通知模块.py","2.72","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\02_脚本代码片段\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\行动模块.py","5.34","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\02_脚本代码片段\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\智能问答.py","2.74","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\02脚本\service\stock_api.py","1.82","2026/4/25 16:19:21","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\02脚本\service\stock_bot.py","5.23","2026/4/26 9:43:40","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\02脚本\service\stock_http_server.py","3.56","2026/4/25 16:41:58","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\04备份\n8n-workflows-20260421\stock_sync_test.json","1.01","2026/4/21 7:04:21","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\06临时\test_stock_api.sh","1.04","2026/4/25 6:41:13","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\感知模块.py","5.08","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\股票监控.py","5.2","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\记忆模块.py","5.86","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\决策模块.py","4.83","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\每日简报.py","3.22","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\命令服务器.py","3.07","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\通知模块.py","2.72","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\行动模块.py","5.34","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\智能问答.py","2.74","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\07文档\搭建工作方案\股票分析系统搭建\20260420股票分析系统设计纲领.txt","15.02","2026/4/21 23:27:21","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\07文档\搭建工作方案\股票分析系统搭建\杰哥智能股票分析系统：架构设计与实施纲领.txt","12.54","2026/4/21 23:27:21","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\00杰哥系统总管\07文档\搭建工作文件\股票分析系统\股票分析系统（草案）.txt","4.1","2026/4/26 10:20:16","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\感知模块.py","5.08","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\股票监控.py","5.2","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\记忆模块.py","5.86","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\决策模块.py","4.83","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\每日简报.py","3.22","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\命令服务器.py","3.07","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
