"来源系统","归类","文件","大小KB","最近修改时间","吸收建议"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\02_脚本代码片段\01杰哥智能系统\01配置\check_n8n_db.py","0.22","2026/4/14 7:46:00","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\02_脚本代码片段\01杰哥智能系统\01配置\fix_n8n_db.py","3.27","2026/4/14 6:33:11","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\02_脚本代码片段\01杰哥智能系统\02脚本\n8n_workflows_backup_20260415_193344.json","20.11","2026/4/15 19:33:47","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\02_脚本代码片段\01杰哥智能系统\05备份\n8n_20260417_053417\docker-compose.yml","2.35","2026/4/17 5:34:17","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\02脚本\备份\n8n_workflow_backup.sh","0.51","2026/4/16 7:11:41","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\02脚本\重建n8n工作流.sh","2.62","2026/4/14 7:11:36","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\04备份\n8n-workflows-20260421\_______.json","8.12","2026/4/21 7:04:45","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\04备份\n8n-workflows-20260421\_______n8n____.json","1.39","2026/4/21 7:04:57","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\04备份\n8n-workflows-20260421\stock_sync_test.json","1.01","2026/4/21 7:04:21","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\05备份\n8n_workflows\all_workflows_20260416_071141.json","0","2026/4/16 7:11:41","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\06临时\通讯工作流.json","5.39","2026/4/25 21:19:37","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\07文档\n8n工作流设置\n8n操作界面介绍.md","41.09","2026/4/13 13:59:48","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\07文档\n8n工作流设置\n8n操作界面介绍.txt","10.7","2026/4/17 8:13:17","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\07文档\n8n工作流设置\n8n工作流创建激活简版.txt","9.1","2026/4/13 0:40:31","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\07文档\n8n工作流设置\n8n密钥.txt","0.22","2026/4/25 17:41:08","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\01配置\check_n8n_db.py","0.22","2026/4/14 7:46:00","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\01配置\fix_n8n_db.py","3.27","2026/4/14 6:33:11","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\01配置\n8n_api_key.txt","0.26","2026/4/11 8:13:28","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\01配置\update_workflow_v2.py","3.12","2026/4/14 6:23:51","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\02脚本\n8n_workflows_backup_20260415_193344.json","20.11","2026/4/15 19:33:47","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\03数据\n8n.backup.20260418_093525\governance.json","0","2026/4/18 9:35:25","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\03数据\n8n.backup.20260418_093525\nodes\package.json","0.07","2026/4/18 9:35:25","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\03数据\n8n.backup.20260418_093525\test2.txt","0.01","2026/4/18 9:35:25","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\03数据\n8n\governance.json","0","2026/4/23 19:11:55","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\03数据\n8n_new\export\workflows.json","6.08","2026/4/18 20:52:35","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\05备份\n8n_20260417_053417\docker-compose.yml","2.35","2026/4/17 5:34:17","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\07文档\n8n工作流设置\n8n操作界面介绍.md","41.09","2026/4/13 13:59:48","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\07文档\n8n工作流设置\n8n操作界面介绍.txt","10.7","2026/4/17 8:13:17","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\07文档\n8n工作流设置\n8n工作流创建激活简版.txt","9.1","2026/4/13 0:40:31","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\07文档\n8n工作流设置\基础信息.txt","0","2026/4/11 9:31:08","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\07文档\n8n工作流设置\每日状态检查与告警.json","2.13","2026/4/11 11:12:29","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\07文档\n8n工作流设置\每周反馈提炼.json","1.58","2026/4/11 9:32:02","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\07文档\n8n工作流设置\每周配置备份.json","2.84","2026/4/11 11:14:00","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\07文档\n8n工作流设置\微信大龙虾对话.json","1.76","2026/4/11 14:34:44","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\06_配置与密钥线索\00杰哥系统总管\07文档\n8n工作流设置\n8n密钥.txt","0.22","2026/4/25 17:41:08","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\06_配置与密钥线索\01杰哥智能系统\01配置\check_n8n_db.py","0.22","2026/4/14 7:46:00","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\06_配置与密钥线索\01杰哥智能系统\01配置\fix_n8n_db.py","3.27","2026/4/14 6:33:11","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\06_配置与密钥线索\01杰哥智能系统\01配置\n8n_api_key.txt","0.26","2026/4/11 8:13:28","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\06_配置与密钥线索\01杰哥智能系统\01配置\模型清单.txt","0.05","2026/4/11 5:27:21","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\06_配置与密钥线索\01杰哥智能系统\05备份\n8n_20260417_053417\docker-compose.yml","2.35","2026/4/17 5:34:17","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\07_运维日志与排障记录\00杰哥系统总管\02脚本\健康检查.sh","5.04","2026/4/23 23:37:18","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","运维治理","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\07_运维日志与排障记录\00杰哥系统总管\05备份\统一服务名_20260418_194636\健康检查.sh","1.36","2026/4/18 19:46:36","只读审阅后决定复用、重构或弃用"
