"代码","展示代码","名称","市场","行业","细分领域","名单分类","来源","入池理由","评分","所属池","阶段用途"
"sz000650","000650.SZ","仁和药业","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000651","000651.SZ","格力电器","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000652","000652.SZ","泰达股份","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000655","000655.SZ","金岭矿业","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000659","000659.SZ","珠海中富","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000661","000661.SZ","长春高新","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000663","000663.SZ","永安林业","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000665","000665.SZ","湖北广电","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000670","000670.SZ","盈方微","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000672","000672.SZ","上峰水泥","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000676","000676.SZ","智度股份","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000677","000677.SZ","恒天海龙","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000678","000678.SZ","襄阳轴承","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000679","000679.SZ","大连友谊","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000680","000680.SZ","山推股份","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000681","000681.SZ","视觉中国","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000682","000682.SZ","东方电子","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000683","000683.SZ","博源化工","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000685","000685.SZ","中山公用","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000686","000686.SZ","东北证券","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000688","000688.SZ","国城矿业","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000690","000690.SZ","宝新能源","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000692","000692.SZ","惠天热电","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000695","000695.SZ","滨海能源","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000700","000700.SZ","模塑科技","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000701","000701.SZ","厦门信达","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000702","000702.SZ","正虹科技","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000703","000703.SZ","恒逸石化","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000705","000705.SZ","浙江震元","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000707","000707.SZ","双环科技","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000708","000708.SZ","中信特钢","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000709","000709.SZ","河钢股份","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000710","000710.SZ","贝瑞基因","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000712","000712.SZ","锦龙股份","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000713","000713.SZ","国投丰乐","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000715","000715.SZ","中兴商业","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000716","000716.SZ","黑芝麻","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000717","000717.SZ","中南股份","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000718","000718.SZ","苏宁环球","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000719","000719.SZ","中原传媒","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000720","000720.SZ","新能泰山","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000721","000721.SZ","西安饮食","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000722","000722.SZ","湖南发展","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000723","000723.SZ","美锦能源","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000725","000725.SZ","京东方Ａ","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000726","000726.SZ","鲁泰Ａ","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000727","000727.SZ","冠捷科技","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000728","000728.SZ","国元证券","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000729","000729.SZ","燕京啤酒","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000731","000731.SZ","四川美丰","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000733","000733.SZ","振华科技","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000735","000735.SZ","罗牛山","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000737","000737.SZ","北方铜业","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000738","000738.SZ","航发控制","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000739","000739.SZ","普洛药业","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000750","000750.SZ","国海证券","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000751","000751.SZ","锌业股份","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000753","000753.SZ","漳州发展","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000755","000755.SZ","山西高速","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000756","000756.SZ","新华制药","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000757","000757.SZ","浩物股份","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000758","000758.SZ","中色股份","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000759","000759.SZ","中百集团","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000761","000761.SZ","本钢板材","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000762","000762.SZ","西藏矿业","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000766","000766.SZ","通化金马","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000767","000767.SZ","晋控电力","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000768","000768.SZ","中航西飞","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000776","000776.SZ","广发证券","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000777","000777.SZ","中核科技","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000778","000778.SZ","新兴铸管","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000779","000779.SZ","甘咨询","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000782","000782.SZ","恒申新材","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000783","000783.SZ","长江证券","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000785","000785.SZ","居然智家","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000786","000786.SZ","北新建材","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000788","000788.SZ","北大医药","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000789","000789.SZ","万年青","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000790","000790.SZ","华神科技","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000791","000791.SZ","甘肃能源","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000792","000792.SZ","盐湖股份","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000795","000795.SZ","英洛华","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000796","000796.SZ","凯撒旅业","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000797","000797.SZ","中国武夷","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000798","000798.SZ","中水渔业","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000799","000799.SZ","酒鬼酒","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sz000800","000800.SZ","一汽解放","深交所","主板","","","深交所官方证券列表","行业分散后补齐试运行池规模","40.0","300只试运行池","盘后主输入；指标扩面目标"
"sh600000","600000.SH","浦发银行","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600004","600004.SH","白云机场","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600007","600007.SH","中国国贸","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600008","600008.SH","首创环保","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600009","600009.SH","上海机场","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600010","600010.SH","包钢股份","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600011","600011.SH","华能国际","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600015","600015.SH","华夏银行","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600016","600016.SH","民生银行","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600018","600018.SH","上港集团","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600019","600019.SH","宝钢股份","上交所","钢铁","普钢龙头","钢铁","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600021","600021.SH","上海电力","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600023","600023.SH","浙能电力","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600025","600025.SH","华能水电","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600026","600026.SH","中远海能","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600027","600027.SH","华电国际","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600028","600028.SH","中国石化","上交所","石油石化","炼油化工","石油石化","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600029","600029.SH","南方航空","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600030","600030.SH","中信证券","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600031","600031.SH","三一重工","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600032","600032.SH","浙江新能","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600036","600036.SH","招商银行","上交所","金融","银行","金融","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600038","600038.SH","中直股份","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600039","600039.SH","四川路桥","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600048","600048.SH","保利发展","上交所","房地产","房地产开发","基建/建材/地产","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600050","600050.SH","中国联通","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600060","600060.SH","海信视像","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600061","600061.SH","国投资本","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600062","600062.SH","华润双鹤","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600066","600066.SH","宇通客车","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600085","600085.SH","同仁堂","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600089","600089.SH","特变电工","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600095","600095.SH","湘财股份","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600096","600096.SH","云天化","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600098","600098.SH","广州发展","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600104","600104.SH","上汽集团","上交所","汽车","整车","汽车","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600109","600109.SH","国金证券","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600111","600111.SH","北方稀土","上交所","有色金属","稀土","资源/材料","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600115","600115.SH","中国东航","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600118","600118.SH","中国卫星","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600126","600126.SH","杭钢股份","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600131","600131.SH","国网信通","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600132","600132.SH","重庆啤酒","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600141","600141.SH","兴发集团","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600143","600143.SH","金发科技","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600150","600150.SH","中国船舶","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600153","600153.SH","建发股份","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600157","600157.SH","永泰能源","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600160","600160.SH","巨化股份","上交所","基础化工","制冷剂","基础化工","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600161","600161.SH","天坛生物","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600166","600166.SH","福田汽车","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600170","600170.SH","上海建工","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600171","600171.SH","上海贝岭","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600176","600176.SH","中国巨石","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600177","600177.SH","雅戈尔","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600183","600183.SH","生益科技","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600188","600188.SH","兖矿能源","上交所","煤炭","煤炭","资源/材料","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600196","600196.SH","复星医药","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600198","600198.SH","大唐电信","上交所","待补充","待补充","历史重点关注","""user_enhance""；""strategic""","用户增强观察池重点关注；未纳入L8指数基底池","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600208","600208.SH","衢州发展","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600219","600219.SH","南山铝业","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600233","600233.SH","圆通速递","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600276","600276.SH","恒瑞医药","上交所","医药医疗","创新药研发","医药/医疗","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600282","600282.SH","南钢股份","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600295","600295.SH","鄂尔多斯","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600298","600298.SH","安琪酵母","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600299","600299.SH","安迪苏","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600309","600309.SH","万华化学","上交所","基础化工","MDI聚氨酯","基础化工","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600312","600312.SH","平高电气","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600316","600316.SH","洪都航空","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600326","600326.SH","西藏天路","上交所","待补充","待补充","历史重点关注","""user_enhance""；""strategic""","用户增强观察池重点关注；未纳入L8指数基底池","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600329","600329.SH","达仁堂","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600332","600332.SH","白云山","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600339","600339.SH","中油工程","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600346","600346.SH","恒力石化","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600348","600348.SH","华阳股份","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600352","600352.SH","浙江龙盛","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600362","600362.SH","江西铜业","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600363","600363.SH","联创光电","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600369","600369.SH","西南证券","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600372","600372.SH","中航机载","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600377","600377.SH","宁沪高速","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600378","600378.SH","昊华科技","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600380","600380.SH","健康元","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600390","600390.SH","五矿资本","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600392","600392.SH","盛和资源","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600398","600398.SH","海澜之家","上交所","纺织服饰","大众男装","纺织服饰","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600406","600406.SH","国电南瑞","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600415","600415.SH","小商品城","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600426","600426.SH","华鲁恒升","上交所","基础化工","煤化工","基础化工","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600435","600435.SH","北方导航","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600436","600436.SH","片仔癀","上交所","医药医疗","中药稀缺龙头","医药/医疗","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600438","600438.SH","通威股份","上交所","新能源","光伏硅料+电池","新能源","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600460","600460.SH","士兰微","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600482","600482.SH","中国动力","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600483","600483.SH","福能股份","上交所","电力","海风+气电","电力","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600486","600486.SH","扬农化工","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600487","600487.SH","亨通光电","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600489","600489.SH","中金黄金","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600497","600497.SH","驰宏锌锗","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600498","600498.SH","烽火通信","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600499","600499.SH","科达制造","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600501","600501.SH","航天晨光","上交所","军工","航天装备","军工/航空航天","""user_enhance""；""strategic""","用户增强观察池重点关注；未纳入L8指数基底池；军工/航空航天；航天装备","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600511","600511.SH","国药股份","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600515","600515.SH","海南机场","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600516","600516.SH","方大炭素","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600517","600517.SH","国网英大","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600519","600519.SH","贵州茅台","上交所","食品饮料","白酒","大消费","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600521","600521.SH","华海药业","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600522","600522.SH","中天科技","","","","沪深300","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600528","600528.SH","中铁工业","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600535","600535.SH","天士力","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600536","600536.SH","中国软件","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600546","600546.SH","山煤国际","","","","中证500","index_base","","","L8X综合候选池","上游样本底座；后续扩展目标"
"sh600547","600547.SH","山东黄金","上交所","有色金属","黄金","有色金属","""user_enhance""；""index_base""","","","L8X综合候选池","上游样本底座；后续扩展目标"
