"代码","展示代码","名称","市场","行业","细分领域","名单分类","来源","入池理由","评分","所属池","阶段用途"
"sh688047","688047.SH","龙芯中科","","半导体","国产CPU","半导体","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688052","688052.SH","纳芯微","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688065","688065.SH","凯赛生物","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688082","688082.SH","盛美上海","","半导体","清洗设备","半导体","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688099","688099.SH","晶晨股份","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688100","688100.SH","威胜信息","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688111","688111.SH","金山办公","","软件互联网","办公软件","软件/互联网","""user_enhance""；""index_base""","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688114","688114.SH","华大智造","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688120","688120.SH","华海清科","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688122","688122.SH","西部超导","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688126","688126.SH","沪硅产业","","科创板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688166","688166.SH","博瑞医药","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688169","688169.SH","石头科技","","科创板","","沪深300","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688172","688172.SH","燕东微","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
"sh688180","688180.SH","君实生物","","科创板","","中证500","index_base","","","L7可交易过滤池","盘后辅助；大样本过滤入口"
